OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-05-27T17:46:52.190112,13.76598020,.0026699,90.2238,71.2886,0.2927,58.4867,0,U,900,999,6861,.6413E-3,.639E-5,0
CALSPHERE 2,1964-063E,2026-05-27T20:11:24.432864,13.52898628,.0016676,90.2376,75.3052,288.9751,137.1036,0,U,902,999,85351,.75348E-4,.59E-6,0
LCS 1,1965-034C,2026-05-27T16:09:31.537152,9.89310447,.0012551,32.1387,225.7383,48.3836,311.7735,0,U,1361,999,20785,.61066E-3,.13E-6,0
TEMPSAT 1,1965-065E,2026-05-27T16:09:51.149952,13.33592784,.0067949,90.0002,212.5909,307.2400,206.9642,0,U,1512,999,95731,.31372E-4,.24E-6,0
CALSPHERE 4A,1965-065H,2026-05-27T18:51:27.377856,13.36274105,.0070373,89.8969,122.6897,159.3984,276.5956,0,U,1520,999,95998,.20599E-3,.117E-5,0
OPS 5712 (P/L 160),1967-053A,2026-05-27T20:59:36.130272,14.77383433,.0001258,69.9164,88.0707,261.7864,98.3141,0,U,2826,999,6323,.13651E-2,.966E-4,0
LES-5,1967-066E,2026-05-27T15:52:00.330816,1.09426088,.0052837,2.5766,96.9353,213.5715,222.0961,0,U,2866,999,13081,0,-.95E-6,0
SURCAL 159,1967-053F,2026-05-27T20:40:25.487040,13.99597539,.0005685,69.9755,44.5972,163.6922,196.4369,0,U,2872,999,736,.93471E-4,.83E-6,0
OPS 5712 (P/L 153),1967-053H,2026-05-27T18:52:14.776896,13.96825057,.0009492,69.9717,159.0343,234.8180,125.2037,0,U,2874,999,394,.58766E-4,.28E-6,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-05-27T19:13:42.206880,14.37842135,.0057908,87.6214,344.4743,301.7700,57.7865,0,U,5398,999,87095,.18336E-3,.581E-5,0
OSCAR 7 (AO-7),1974-089B,2026-05-27T21:02:58.523136,12.53697743,.0012351,101.9905,160.9117,168.1995,265.5173,0,U,7530,999,35797,.14397E-3,-.23E-6,0
STARLETTE,1975-010A,2026-05-27T18:38:35.604672,13.82350250,.020558,49.8220,185.1618,355.6135,4.2953,0,U,7646,999,59171,.20528E-4,-.117E-5,0
LAGEOS 1,1976-039A,2026-05-27T02:16:27.265728,6.38664721,.00446784,109.8029,172.1192,306.7829,60.4593,0,U,8820,999,91179,0,.15E-6,0
PHASE 3B (AO-10),1983-058B,2026-05-27T11:44:46.115232,2.05869007,.60179614,25.8993,222.9976,109.9726,321.6983,0,U,14129,999,29506,0,.189E-5,0
UOSAT 2 (UO-11),1984-021B,2026-05-27T21:12:21.911616,14.90726477,.0006119,97.8045,113.6877,247.3582,112.6989,0,U,14781,999,25410,.12458E-3,.1167E-4,0
AJISAI (EGS),1986-061A,2026-05-27T18:11:10.528800,12.44516458,.0011342,50.0074,210.2168,128.7639,31.3781,0,U,16908,999,47784,.12854E-3,-.79E-6,0
TDRS 3,1988-091B,2026-05-27T10:15:51.864768,1.00263879,.00391518,12.6175,341.1439,358.1140,10.4985,0,U,19548,999,12518,0,-.304E-5,0
COSMOS 1989 (ETALON 1),1989-001C,2026-05-27T09:02:53.996640,2.13156031,.00233359,64.9342,72.9068,217.6117,338.4629,0,U,19751,999,29092,0,-.6E-6,0
COSMOS 2024 (ETALON 2),1989-039C,2026-05-27T09:26:20.370912,2.13204645,.00206245,64.9484,311.2515,212.5973,149.9764,0,U,20026,999,28806,0,-.64E-6,0
FLTSATCOM 8 (USA 46),1989-077A,2026-05-27T11:05:39.589728,1.00264768,.00058932,12.4273,351.2904,30.6571,155.0334,0,U,20253,999,26035,0,-.371E-5,0
LUSAT (LO-19),1990-005G,2026-05-27T19:25:37.291296,14.34116035,.0010431,98.8858,169.0528,265.6337,94.3654,0,U,20442,999,89947,.67528E-4,.142E-5,0
HST,1990-037B,2026-05-27T14:31:10.646112,15.30510811,.0001329,28.4731,221.2197,279.5597,80.4848,0,U,20580,999,78541,.21825E-3,.686E-4,0
SKYNET 4C,1990-079A,2026-05-27T17:29:58.146144,1.00277969,.0002925,13.3459,349.9578,68.3436,122.8943,0,U,20776,999,13068,0,.123E-5,0
TDRS 5,1991-054B,2026-05-27T18:03:38.663712,1.00267117,.0006333,14.0740,353.9347,286.5822,68.1466,0,U,21639,999,12750,0,.8E-6,0
LAGEOS 2,1992-070B,2026-05-27T20:01:11.856000,6.47293600,.0137785,52.6604,279.5237,178.4068,354.3232,0,U,22195,999,79410,0,-.9E-7,0
TDRS 6,1993-003B,2026-05-27T10:16:51.769344,1.00278957,.00069175,14.1828,357.2149,180.1879,175.8027,0,U,22314,999,12219,0,-.3E-5,0
SCD 1,1993-009B,2026-05-27T21:23:20.875776,14.46110223,.0041732,24.9711,332.8911,283.3134,219.2577,0,U,22490,999,75817,.64096E-4,.421E-5,0
UFO 2 (USA 95),1993-056A,2026-05-27T05:13:38.813376,1.00279070,.00078098,11.8879,3.6719,2.7366,345.5456,0,U,22787,999,11833,0,.122E-5,0
STELLA,1993-061B,2026-05-27T20:53:05.457120,14.27469824,.0005406,98.7733,212.0480,301.4813,147.6439,0,U,22824,999,70187,.10579E-4,-.19E-6,0
EYESAT A (AO-27),1993-061C,2026-05-27T17:19:32.642112,14.30935848,.000891,98.6886,215.1419,153.7943,206.3692,0,U,22825,999,70407,.56693E-4,.104E-5,0
ITAMSAT (IO-26),1993-061D,2026-05-27T18:39:20.491200,14.31362093,.0009688,98.6835,215.1127,138.4838,221.7082,0,U,22826,999,70439,.561E-4,.104E-5,0
USA 99 (MILSTAR-1 1),1994-009A,2026-05-27T13:04:20.250912,0.98722943,.0000739,17.5976,27.9215,272.5893,260.9651,0,U,22988,999,3274,0,-.185E-5,0
RADIO ROSTO (RS15),1994-085A,2026-05-27T19:20:54.104064,11.27583657,.0155354,64.8187,336.1791,7.6316,352.6922,0,U,23439,999,29360,.31625E-3,-.31E-6,0
UFO 4 (USA 108),1995-003A,2026-05-27T19:52:22.071936,1.00269203,.0003068,9.6993,13.3004,44.5217,297.9189,0,U,23467,999,11474,0,-.22E-6,0
TDRS 7,1995-035B,2026-05-27T18:39:32.059296,1.00269850,.0011068,13.3859,348.3324,73.1982,192.9196,0,U,23613,999,11304,0,-.243E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2026-05-27T14:24:59.323104,1.00367387,.0001126,14.0661,3.9065,94.5103,261.8263,0,U,23712,999,3267,0,-.155E-5,0
POLAR,1996-013A,2026-05-27T05:46:49.795968,1.29846066,.64494688,79.8328,227.2975,209.8003,88.5590,0,U,23802,999,14458,0,.3E-6,0
INMARSAT 3-F1,1996-020A,2026-05-27T03:18:28.306368,0.99983570,.00034936,10.5587,46.8272,20.0385,154.3634,0,U,23839,999,11004,0,-.236E-5,0
USA 119,1996-029A,2026-05-27T16:25:56.885088,13.46181689,.0850077,63.3195,245.7559,48.8614,318.2671,0,U,23893,999,10251,.15057E-3,.806E-5,0
JAS-2 (FO-29),1996-046B,2026-05-27T19:56:33.221184,13.53273310,.0350405,98.5261,359.4898,149.1331,213.0932,0,U,24278,999,47041,.25555E-4,-.8E-7,0
INMARSAT 3-F2,1996-053A,2026-05-27T15:16:19.922016,1.00004123,.0006703,9.8120,54.1454,12.4434,216.8823,0,U,24307,999,10871,0,-.9E-6,0
INMARSAT 3-F3,1996-070A,2026-05-27T18:36:35.486208,0.99974993,.0003722,10.2753,49.8477,359.7188,179.0186,0,U,24674,999,10770,0,.55E-6,0
NAVSTAR 43 (USA 132),1997-035A,2026-05-27T06:16:07.776768,2.00563871,.01014259,55.9845,99.3931,56.5582,304.3694,0,U,24876,999,21153,0,-.9E-7,0
