OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 106,2017-003A,2026-05-27T20:42:10.200384,14.34217635,.0001977,86.3955,97.0527,76.1345,284.0070,0,U,41917,999,49029,-.32498E-5,.11E-6,0
IRIDIUM 103,2017-003B,2026-05-27T18:43:26.300064,14.34217579,.0002452,86.3954,96.9869,84.1256,276.0219,0,U,41918,999,49030,-.35516E-5,.1E-6,0
IRIDIUM 109,2017-003C,2026-05-27T20:33:02.268864,14.34217354,.0002341,86.3953,97.0136,85.6343,274.5120,0,U,41919,999,49028,.14332E-4,.6E-6,0
IRIDIUM 102,2017-003D,2026-05-27T19:47:22.104960,14.34217623,.000225,86.3954,96.9512,85.5114,274.6338,0,U,41920,999,49036,.80483E-4,.245E-5,0
IRIDIUM 105,2017-003E,2026-05-27T20:28:16.770432,14.34219614,.0002431,86.3973,65.3701,89.3341,270.8133,0,U,41921,999,49222,.9087E-4,.274E-5,0
IRIDIUM 104,2017-003F,2026-05-27T18:25:10.157952,14.34218818,.0002517,86.3953,97.0171,87.9799,272.1685,0,U,41922,999,49034,.53406E-4,.169E-5,0
IRIDIUM 114,2017-003G,2026-05-27T18:34:18.085152,14.34218943,.0002426,86.3953,96.9980,85.6113,274.5360,0,U,41923,999,49032,.38191E-4,.127E-5,0
IRIDIUM 108,2017-003H,2026-05-27T19:15:02.507040,14.34217351,.0002039,86.3964,65.2826,85.3466,274.7962,0,U,41924,999,49218,-.84911E-5,-.4E-7,0
IRIDIUM 112,2017-003J,2026-05-27T09:53:42.191232,14.34218576,.00023266,86.3948,96.9921,87.0746,273.0716,0,U,41925,999,49029,.32878309E-4,.112E-5,0
IRIDIUM 111,2017-003K,2026-05-27T19:38:14.292672,14.34217962,.0002332,86.3952,96.8926,84.9592,275.1870,0,U,41926,999,49033,.83979E-4,.255E-5,0
IRIDIUM 113,2017-039A,2026-05-27T20:49:51.328416,14.34217846,.0002328,86.3963,330.6760,91.5336,268.6127,0,U,42803,999,46827,.17823E-4,.7E-6,0
IRIDIUM 123,2017-039B,2026-05-27T20:09:06.643008,14.34219780,.0002218,86.3984,2.1444,82.5332,277.6116,0,U,42804,999,46703,.8572E-4,.26E-5,0
