OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1008,2019-074B,2026-05-27T08:07:24.321216,15.47285979,.00029265,53.1528,168.3462,42.3731,317.7503,0,U,44714,999,36098,.12484821E-2,.64806E-3,0
STARLINK-1012,2019-074F,2026-05-27T20:31:13.586304,15.47570658,.000283,53.1569,166.1857,39.9410,320.1806,0,U,44718,999,36105,.12597E-2,.66054E-3,0
STARLINK-1017,2019-074L,2026-05-27T18:38:17.867616,15.30390837,.000547,53.0479,164.6606,2.6303,357.4724,0,U,44723,999,36105,.10252E-2,.30321E-3,0
STARLINK-1020,2019-074N,2026-05-27T12:39:20.815200,15.52608326,.00041854,53.1586,192.2181,22.7614,337.3582,0,U,44725,999,36064,.10594521E-2,.66384E-3,0
STARLINK-1036,2019-074AE,2026-05-27T18:25:15.937248,15.67808414,.0003101,53.0415,161.5187,341.0909,18.9991,0,U,44741,999,36109,.49286E-3,.55025E-3,0
STARLINK-1039,2019-074AH,2026-05-27T11:01:10.737984,15.27697008,.00033481,53.0586,211.2928,6.3503,353.7537,0,U,44744,999,36037,.14049188E-2,.38388E-3,0
STARLINK-1042,2019-074AL,2026-05-27T05:25:32.121408,15.53487111,.0003549,53.0426,76.8466,68.3026,291.8361,0,U,44747,999,36226,.51511E-3,.32938E-3,0
STARLINK-1043,2019-074AM,2026-05-27T07:24:19.431936,15.61526557,.00010647,53.0484,173.4838,72.2544,287.8586,0,U,44748,999,36089,.46605031E-3,.40361E-3,0
STARLINK-1046,2019-074AQ,2026-05-27T12:59:01.566240,15.53619684,.0007217,53.0482,193.3001,26.1410,333.9963,0,U,44751,999,36063,.10512E-2,.68401E-3,0
STARLINK-1047,2019-074AR,2026-05-27T16:26:10.747104,15.34176420,.0003802,53.0680,136.4857,90.0367,270.1070,0,U,44752,999,36146,.29291E-3,.9464E-4,0
STARLINK-1048,2019-074AS,2026-05-27T10:16:57.603072,15.65982408,.00073029,53.0440,145.0393,20.0919,340.0382,0,U,44753,999,36129,.54129772E-3,.56221E-3,0
STARLINK-1063,2019-074BH,2026-05-27T14:37:34.294080,15.47299559,.0001877,53.1562,208.0739,24.5048,335.6049,0,U,44768,999,36046,.10925E-2,.56618E-3,0
STARLINK-1067,2019-074BL,2026-05-27T19:02:41.786880,15.72737196,.0006967,53.0427,175.6674,350.4630,9.6255,0,U,44771,999,36090,.56157E-3,.77477E-3,0
STARLINK-1068,2019-074BM,2026-05-27T19:16:42.310272,15.73475591,.0002399,53.0414,149.3293,69.8273,290.3003,0,U,44772,999,36126,.5356E-3,.7615E-3,0
STARLINK-1114,2020-001P,2026-05-27T19:31:59.898144,15.63716002,.0001848,53.0415,305.5225,337.0948,22.9983,0,U,44927,999,35242,.1021E-2,.97715E-3,0
STARLINK-1123,2020-001S,2026-05-27T20:43:46.807680,15.56043593,.0003247,53.1452,331.5381,252.4705,107.5952,0,U,44930,999,35207,.11966E-2,.85306E-3,0
STARLINK-1094,2020-001AD,2026-05-27T20:42:50.211360,15.52725323,.0003351,53.1533,306.2824,289.7085,70.3564,0,U,44941,999,35243,.12925E-2,.81586E-3,0
STARLINK-1122,2020-001AM,2026-05-27T17:49:35.205312,15.52411559,.0003122,53.1561,307.4364,289.2752,70.7921,0,U,44949,999,35240,.11303E-2,.70379E-3,0
STARLINK-1080,2020-001AZ,2026-05-27T22:00:01.998720,15.66431179,.0001451,53.0460,265.5874,33.7461,43.5998,0,U,44961,999,581,.32532E-3,.3405E-3,0
STARLINK-1090,2020-001BG,2026-05-27T19:58:36.845760,15.48865021,.0002031,53.1496,294.4481,302.0472,58.0340,0,U,44968,999,35259,.12896E-2,.70814E-3,0
STARLINK-1132,2020-006A,2026-05-27T14:03:45.608256,15.53871354,.0002361,53.1526,237.0675,349.4827,10.6134,0,U,45044,999,34915,.11144E-2,.73185E-3,0
STARLINK-1131,2020-006D,2026-05-27T13:50:53.441088,15.50651003,.0003242,53.1569,269.6815,327.3891,32.6918,0,U,45047,999,34869,.91969E-3,.53554E-3,0
STARLINK-1134,2020-006E,2026-05-27T11:14:30.040800,15.55287721,.00076824,53.0272,220.6576,25.4127,334.7259,0,U,45048,999,34935,.177484E-2,.124001E-2,0
STARLINK-1156,2020-006L,2026-05-27T17:28:40.459584,15.33969011,.0002894,53.1592,273.2133,323.6306,36.4500,0,U,45054,999,34865,.10673E-2,.35367E-3,0
STARLINK-1166,2020-006S,2026-05-27T17:49:02.750880,15.57400284,.0003872,53.0462,252.4546,330.1974,29.8816,0,U,45060,999,34893,.11554E-2,.86666E-3,0
STARLINK-1169,2020-006T,2026-05-27T17:17:56.712192,15.37063510,.000365,53.1556,272.0888,282.5546,77.5049,0,U,45061,999,34867,.15524E-2,.5718E-3,0
STARLINK-1171,2020-006U,2026-05-27T13:03:40.386816,15.72674573,.0002455,53.0412,220.5664,321.8321,38.2522,0,U,45062,999,34936,.53012E-3,.72785E-3,0
STARLINK-1133,2020-006W,2026-05-27T16:46:54.324768,15.33956963,.0003674,53.1569,250.1278,329.8548,30.2242,0,U,45064,999,34898,.15651E-2,.52138E-3,0
STARLINK-1167,2020-006AD,2026-05-27T12:34:15.285792,15.36243223,.00028144,53.1572,250.2026,282.8233,77.2456,0,U,45071,999,34896,.14130965E-2,.50602E-3,0
STARLINK-1168,2020-006AE,2026-05-27T22:00:01.998720,15.34112318,.0003288,53.1583,249.3172,336.3343,252.1353,0,U,45072,999,591,.12636E-3,.3857E-4,0
STARLINK-1172,2020-006AG,2026-05-27T13:17:27.060288,15.37243053,.00029496,53.1560,249.4816,295.8882,64.1818,0,U,45074,999,34897,.14727423E-2,.5452E-3,0
STARLINK-1153,2020-006AN,2026-05-27T13:43:58.143072,15.36263138,.0003942,53.1581,249.8929,294.5382,65.5210,0,U,45080,999,34897,.15395E-2,.55239E-3,0
STARLINK-1151,2020-006AP,2026-05-27T14:24:39.775968,15.76036723,.00038,53.0489,209.2599,335.2637,24.8200,0,U,45081,999,34952,.53629E-3,.85381E-3,0
STARLINK-1185,2020-006AV,2026-05-27T12:22:18.176160,15.44541770,.00046313,53.1596,230.9520,339.0664,21.0153,0,U,45087,999,34923,.12091984E-2,.57038E-3,0
STARLINK-1183,2020-006AW,2026-05-27T15:47:37.910688,15.33898731,.0004135,53.1578,235.1290,338.6377,21.4453,0,U,45088,999,34918,.21827E-2,.72931E-3,0
STARLINK-1152,2020-006BE,2026-05-27T10:01:40.542240,15.47338304,.00042781,53.0336,192.4787,27.8623,332.2612,0,U,45096,999,34974,.13109924E-2,.68244E-3,0
STARLINK-1184,2020-006BG,2026-05-27T15:36:30.271104,15.13724522,.0003918,53.0523,247.7889,8.7629,351.3431,0,U,45098,999,34898,.13112E-2,.23676E-3,0
STARLINK-1193,2020-006BJ,2026-05-27T10:07:06.600288,15.66619011,.00039747,53.0469,205.8587,302.6582,57.4049,0,U,45100,999,34955,.52840576E-3,.56252E-3,0
STARLINK-1143,2020-012B,2026-05-27T22:00:01.998720,15.85030650,.000513,53.0354,296.1784,319.4218,105.9353,0,U,45179,999,604,.11658E-2,.288733E-2,0
STARLINK-1202,2020-012F,2026-05-27T20:41:38.055264,15.33660038,.0002771,53.1581,30.9118,127.1200,233.0055,0,U,45183,999,34708,.13745E-2,.45267E-3,0
STARLINK-1216,2020-012H,2026-05-27T01:28:42.947616,15.33857415,.00028462,53.1568,34.5324,124.0149,236.1124,0,U,45185,999,34690,.13515323E-2,.44782E-3,0
STARLINK-1225,2020-012K,2026-05-27T01:26:20.593248,15.33818852,.00023478,53.1567,34.9990,123.2643,236.8585,0,U,45187,999,34694,.13521627E-2,.44747E-3,0
STARLINK-1230,2020-012M,2026-05-27T20:27:09.823392,15.33820834,.0002671,53.1579,31.3621,125.8021,234.3230,0,U,45189,999,34429,.12942E-2,.42804E-3,0
STARLINK-1234,2020-012N,2026-05-27T16:26:28.999104,15.72620542,.0005397,53.0407,295.7908,201.1086,158.9709,0,U,45190,999,34827,.33921E-3,.46121E-3,0
STARLINK-1269,2020-012V,2026-05-27T20:21:07.108416,15.33859795,.0002708,53.1569,31.2298,93.9127,266.2185,0,U,45197,999,34704,.14818E-2,.49167E-3,0
STARLINK-1154,2020-012W,2026-05-27T18:58:01.352352,15.62704026,.0000429,53.0435,348.8235,37.9162,322.1882,0,U,45198,999,34758,.51329E-3,.46642E-3,0
STARLINK-1199,2020-012Z,2026-05-27T19:39:04.769280,15.33839598,.0002311,53.1587,15.6304,156.9809,203.1297,0,U,45201,999,34728,.1553E-2,.5153E-3,0
STARLINK-1209,2020-012AE,2026-05-27T19:56:05.210304,15.64578326,.0008747,53.0379,309.0022,193.4439,166.6344,0,U,45206,999,34725,.6772E-3,.66739E-3,0
STARLINK-1231,2020-012AL,2026-05-27T19:37:43.312224,15.26999712,.0003645,53.0423,10.5191,65.4871,294.6507,0,U,45212,999,34729,.12144E-2,.32409E-3,0
STARLINK-1271,2020-012AR,2026-05-27T19:37:30.333216,15.33988751,.0001663,53.1603,15.7786,119.8824,240.2344,0,U,45217,999,34728,.98511E-3,.32621E-3,0
STARLINK-1191,2020-012AW,2026-05-27T19:49:31.779264,15.37829763,.0003734,53.1562,349.0492,150.8630,209.2583,0,U,45222,999,34766,.14885E-2,.56186E-3,0
STARLINK-1212,2020-012AX,2026-05-27T20:35:00.553056,15.65814940,.0002995,53.0404,324.5785,111.7855,248.3478,0,U,45223,999,34799,.56173E-3,.57923E-3,0
STARLINK-1215,2020-012AZ,2026-05-27T19:37:19.972128,15.34063008,.0001614,53.1593,350.0487,178.4588,181.6420,0,U,45225,999,34760,.15914E-2,.532E-3,0
STARLINK-1221,2020-012BB,2026-05-27T14:17:35.876832,15.44418285,.0001765,53.0647,254.9400,259.0264,101.0543,0,U,45227,999,34889,.38097E-3,.17509E-3,0
STARLINK-1222,2020-012BC,2026-05-27T18:23:52.834272,15.54257567,.0000956,53.0534,322.2908,27.4568,332.6492,0,U,45228,999,34790,.59594E-3,.39303E-3,0
STARLINK-1226,2020-012BD,2026-05-27T18:42:17.388288,15.42592949,.0002483,53.1570,346.9613,178.4777,181.6237,0,U,45229,999,34758,.13605E-2,.60128E-3,0
STARLINK-1227,2020-012BE,2026-05-27T20:30:55.080288,15.42717678,.0002925,53.1551,346.7231,170.8666,189.2394,0,U,45230,999,34771,.13335E-2,.59172E-3,0
STARLINK-1246,2020-012BK,2026-05-27T20:30:43.587360,15.33950463,.0002899,53.1577,30.8280,143.3496,216.7705,0,U,45235,999,34710,.13433E-2,.44637E-3,0
STARLINK-1270,2020-012BM,2026-05-27T18:30:44.500896,15.59992157,.0002011,53.0421,325.9659,167.2756,192.8308,0,U,45237,999,34796,.12629E-2,.10478E-2,0
STARLINK-1279,2020-019A,2026-05-27T02:11:14.141760,15.72697675,.00085845,53.0364,73.5270,73.0309,287.1649,0,U,45360,999,34295,.59734332E-3,.8242E-3,0
STARLINK-1301,2020-019B,2026-05-27T05:06:59.208192,15.75026611,.0005972,53.0369,75.7534,93.8688,266.3013,0,U,45361,999,34294,.64262041E-3,.98199E-3,0
STARLINK-1262,2020-019G,2026-05-27T05:33:28.486080,15.32823209,.000406,53.1547,160.1135,32.6617,327.4635,0,U,45366,999,34178,.13776E-2,.44179E-3,0
STARLINK-1273,2020-019H,2026-05-27T06:15:55.113120,15.55387778,.0006056,53.0435,137.7386,19.5009,340.6232,0,U,45367,999,34208,.13725E-2,.95753E-3,0
STARLINK-1277,2020-019K,2026-05-27T15:33:10.857312,15.61951232,.0006513,53.0429,130.4482,11.9165,348.2001,0,U,45369,999,34222,.11565E-2,.103512E-2,0
STARLINK-1281,2020-019L,2026-05-27T10:41:50.976960,15.33734928,.00049859,53.1558,158.8146,32.3605,327.7703,0,U,45370,999,34182,.13783492E-2,.45515E-3,0
STARLINK-1300,2020-019Q,2026-05-27T17:19:18.832800,15.34183024,.0004597,53.1559,157.4657,46.8258,313.3128,0,U,45374,999,34186,.13097E-2,.4384E-3,0
STARLINK-1302,2020-019R,2026-05-27T16:02:41.132832,15.65920168,.0005483,53.0451,126.7050,35.7180,324.4200,0,U,45375,999,34227,.51974E-3,.53778E-3,0
STARLINK-1304,2020-019S,2026-05-27T04:31:11.096832,15.61166557,.00060072,53.0421,129.9843,36.9183,323.2242,0,U,45376,999,34218,.14434346E-2,.125773E-2,0
STARLINK-1305,2020-019T,2026-05-27T06:29:02.631840,15.69813198,.0001549,53.0372,108.8648,139.9322,220.1809,0,U,45377,999,34249,.59977E-3,.73038E-3,0
STARLINK-1319,2020-019V,2026-05-27T20:25:04.863072,15.75314773,.000475,53.0380,98.1541,52.9165,307.2287,0,U,45379,999,34269,.11254E-2,.176195E-2,0
STARLINK-1266,2020-019Z,2026-05-27T22:00:01.998720,15.64646949,.0001767,53.0439,111.6406,101.8074,172.5578,0,U,45383,999,566,-.21067E-3,-.21279E-3,0
STARLINK-1267,2020-019AA,2026-05-27T07:41:45.642624,15.63696936,.00074185,53.0439,105.7446,70.3237,289.8576,0,U,45384,999,34253,.15645933E-2,.151068E-2,0
STARLINK-1272,2020-019AC,2026-05-27T05:54:16.736256,15.68170449,.0008182,53.0399,85.2592,58.6269,301.5546,0,U,45386,999,34281,.64177E-3,.73166E-3,0
STARLINK-1274,2020-019AD,2026-05-27T20:26:57.915744,15.59493364,.0008832,53.0212,80.8411,86.5324,273.6698,0,U,45387,999,34292,.12563E-2,.102386E-2,0
STARLINK-1280,2020-019AE,2026-05-27T20:47:18.422016,15.75989366,.0005442,53.0374,90.5044,70.1988,289.9617,0,U,45388,999,34278,.60386E-3,.96183E-3,0
STARLINK-1283,2020-019AF,2026-05-27T05:02:23.147232,15.69405984,.00042467,53.0398,84.6387,81.7626,278.3871,0,U,45389,999,34282,.60409067E-3,.72349E-3,0
STARLINK-1284,2020-019AG,2026-05-27T20:32:34.700352,15.68437184,.0005022,53.0403,105.2341,15.5916,344.5253,0,U,45390,999,34258,.5725E-3,.65798E-3,0
STARLINK-1297,2020-019AM,2026-05-27T20:37:13.603872,15.66830133,.0006846,53.0408,104.1188,23.8561,336.2770,0,U,45395,999,34178,.57156E-3,.61503E-3,0
STARLINK-1307,2020-019AP,2026-05-27T07:38:38.714496,15.55632006,.00027433,53.0521,111.7106,60.4436,299.6848,0,U,45397,999,34227,.52308818E-3,.36227E-3,0
STARLINK-1255,2020-019AR,2026-05-27T05:35:14.282016,15.64462768,.0005815,53.0347,80.7751,78.6243,281.5424,0,U,45399,999,34268,.10551E-2,.104184E-2,0
STARLINK-1260,2020-019AW,2026-05-27T15:21:09.639360,15.36461594,.0006039,53.1563,120.8449,45.9356,314.2144,0,U,45404,999,34208,.14072E-2,.50769E-3,0
